"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","WDF2","WDF5","WDMV","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-07-05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-07-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-07-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-07-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-07-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-07-23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-07-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-07-27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-08-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-08-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-08-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-08-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-08-14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-08-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-08-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-08-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-08-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-08-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-08-22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-08-23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-09-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-09-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-09-14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-09-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-09-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-09-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-09-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-09-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-09-27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-09-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-10-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-10-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-10-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-10-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-10-05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-10-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-10-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-10-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-10-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-10-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-10-22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-10-23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-10-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-10-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-10-27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-10-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-10-29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-11-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-11-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-11-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-11-05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-11-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-11-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-12-05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-08-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-08-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-08-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-08-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-08-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-08-22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-08-23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-08-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-08-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-08-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-08-27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-08-29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-08-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-08-31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-09-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-10-31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-11-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-12-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-12-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-12-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-12-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-12-05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-12-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-12-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0027","STREAMWOOD 1.1 NNE, IL US","42.0355","-88.1651","246.0","2007-12-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
